[  2.601] step moves=0 diag=0 level=false shimmer=false released=0 sec=40 toast=true -> repaint=true
[  2.606] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  2.701] step moves=0 diag=0 level=false shimmer=false released=0 sec=40 toast=true -> repaint=true
[  2.706] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  2.801] step moves=0 diag=0 level=false shimmer=false released=0 sec=40 toast=true -> repaint=true
[  2.806] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  2.901] step moves=5 diag=1 level=false shimmer=false released=1 sec=39 toast=true -> repaint=true
[  2.906] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  3.001] step moves=1 diag=0 level=false shimmer=true released=0 sec=39 toast=true -> repaint=true
[  3.001] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  3.100] step moves=0 diag=0 level=false shimmer=false released=0 sec=39 toast=true -> repaint=true
[  3.106] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  3.200] step moves=0 diag=0 level=false shimmer=false released=0 sec=39 toast=true -> repaint=true
[  3.200] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  3.301] step moves=0 diag=0 level=false shimmer=false released=0 sec=39 toast=true -> repaint=true
[  3.301] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  3.401] step moves=0 diag=0 level=false shimmer=false released=0 sec=39 toast=true -> repaint=true
[  3.401] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  3.501] step moves=0 diag=0 level=false shimmer=false released=0 sec=39 toast=true -> repaint=true
